laptop_id,img_link,name,laptop_brand,usecases,price_rm,tags
235,https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/5/k/z/na-gaming-laptop-lenovo-original-imag5bg5egrw92gp.jpeg?q=70,Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H,Lenovo, Gaming,7149.395,amd ryzen 7 octa core processor 16 gb ddr4 ram 64 bit window 11 oper system game
236,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/p/p/o/macbook-air-thin-and-light-laptop-apple-original-imagfdfpnjjpdhq2.jpeg?q=70,APPLE 2022 MacBook AIR M2,APPLE, Creative/Design,7699.45,appl m2 processor 8 gb unifi memori ram mac os oper system creative/design
237,https://rukminim1.flixcart.com/image/312/312/kyvvtzk0/computer/2/7/l/-original-imagbygbzq27x6sy.jpeg?q=70,HP Pavilion Intel Core i5 11th Gen,HP, Business/Professional,3794.45,intel core i5 processor (11th gen) 16 gb ddr4 ram 64 bit window 11 oper system business/profession
239,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,MSI Core i5 11th Gen,MSI, Gaming,3299.45,intel core i5 processor (11th gen) 8 gb ddr4 ram 64 bit window 10 oper system game
240,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/s/2/g/apple-original-imafxfyqykyghjg6.jpeg?q=70,APPLE 2020 Macbook Air M1,APPLE, Creative/Design,6049.45,appl m1 processor 8 gb ddr4 ram mac os oper system creative/design
241,https://rukminim1.flixcart.com/image/312/312/l37mtu80/computer/q/v/i/np750xed-kb1in-thin-and-light-laptop-samsung-original-imagednvcrgdxpam.jpeg?q=70,SAMSUNG Galaxy Book2 Core i5 12th Gen,SAMSUNG, Multimedia/Entertainment,3409.45,intel core i5 processor (12th gen) 8 gb lpddr4x ram 64 bit window 11 oper system multimedia/entertain
242,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,DELL Inspiron Core i5 11th Gen,DELL, Home/Everyday use,3354.45,intel core i5 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use
244,https://rukminim1.flixcart.com/image/312/312/kzn17680/computer/1/i/z/-original-imagbhzqahdzyx4e.jpeg?q=70,HP OMEN Ryzen 7 Octa Core AMD R7,HP, Gaming,6050.0,amd ryzen 7 octa core processor 16 gb ddr4 ram 64 bit window 11 oper system game
245,https://rukminim1.flixcart.com/image/312/312/l3vxbbk0/computer/g/u/y/-original-imagewgtfgzf8fdd.jpeg?q=70,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,ASUS, Gaming,4234.45,amd ryzen 7 octa core processor 8 gb ddr4 ram 64 bit window 10 oper system game
248,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/v/x/v/na-thin-and-light-laptop-apple-original-imag5jt7u9fzenqb.jpeg?q=70,APPLE MacBook Air M1,APPLE, Creative/Design,6049.45,appl m1 processor 8 gb ddr4 ram mac os oper system creative/design
